"Building_Class","Zoning_Class","Lot_Extent","Lot_Size","Road_Type","Lane_Type","Property_Shape","Land_Outline","Lot_Configuration","Property_Slope","Neighborhood","Condition1","Condition2","House_Type","House_Design","Overall_Material","House_Condition","Construction_Year","Roof_Design","Roof_Quality","Exterior1st","Exterior2nd","Brick_Veneer_Type","Brick_Veneer_Area","Exterior_Material","Exterior_Condition","Foundation_Type","Basement_Height","Basement_Condition","Exposure_Level","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtUnfSF","Total_Basement_Area","Heating_Type","Heating_Quality","Air_Conditioning","Electrical_System","First_Floor_Area","Second_Floor_Area","LowQualFinSF","Grade_Living_Area","Underground_Full_Bathroom","Underground_Half_Bathroom","Full_Bathroom_Above_Grade","Half_Bathroom_Above_Grade","Bedroom_Above_Grade","Kitchen_Quality","Rooms_Above_Grade","Functional_Rate","Fireplaces","Fireplace_Quality","Garage","Garage_Built_Year","Garage_Finish","Garage_Size","Garage_Quality","Pavedd_Drive","W_Deck_Area","Open_Lobby_Area","Enclosed_Lobby_Area","Three_Season_Lobby_Area","Screen_Lobby_Area","Pool_Area","Pool_Quality","Fence_Quality","Miscellaneous_Feature","Miscellaneous_Value","Month_Sold","Year_Sold","Sale_Type","Sale_Condition","Sale_Price"
20,"RLD",70,10725.85651,1,"None",0,"Lvl","I",0,"CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,"Hip","SS","HdBoard","HdBoard",1,164,4,3,"PC",5,3,4,6,1360,1,462,1822,"GasA",5,1,"SBrkr",1828,0,0,1828,1,0,2,0,3,4,7,10,1,4,"Attchd",2002,3,2,3,2,194,144,0,0,0,0,0,"None","None",0,6,2009,"WD","Normal",277662.536933333
20,"RLD",70,9080.624852,1,"None",0,"Lvl","I",0,"CollgCr","Norm","Norm","1Fam","1Story",7,5,1997,"Gable","SS","VinylSd","VinylSd",1,209,4,3,"PC",4,3,3,6,1111,1,306,1417,"GasA",5,1,"SBrkr",1417,0,0,1417,1,0,2,0,3,4,7,10,1,3,"Attchd",1997,1,2,3,2,60,0,0,0,117,0,0,"None","None",0,8,2009,"WD","Normal",202616.1427
20,"RLD",85,8513.245324,1,"None",0,"Lvl","I",0,"CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,"Gable","SS","VinylSd","VinylSd",1,180,4,3,"PC",4,3,3,6,1478,1,100,1578,"GasA",5,1,"SBrkr",1602,0,0,1602,1,0,2,0,3,4,7,10,1,4,"Attchd",2007,2,3,3,2,0,48,0,0,195,0,0,"None","None",0,1,2009,"WD","Normal",263728.017966667
60,"RLD",85,6570.485918,1,"None",0,"Lvl","C",0,"CollgCr","Norm","Norm","1Fam","2Story",6,5,2007,"Gable","SS","VinylSd","VinylSd",0,0,4,3,"PC",4,3,1,1,0,1,608,608,"GasA",5,1,"SBrkr",608,788,0,1396,0,0,2,1,3,4,6,10,1,4,"BuiltIn",2007,3,2,3,2,100,36,0,0,0,0,0,"None","None",0,7,2009,"WD","Normal",165859.507
20,"RLD",80,13322.46156,1,"None",0,"Lvl","I",0,"Edwards","Norm","Norm","1Fam","1Story",4,6,1960,"Gable","SS","HdBoard","HdBoard",0,0,3,3,"CB",3,3,1,6,399,1,615,1014,"GasA",3,1,"SBrkr",1149,0,0,1149,1,0,1,0,3,3,7,4,0,0,"2Types",1968,3,1,3,2,0,240,0,0,0,0,0,"MnPrv","None",0,7,2009,"WD","Normal",134661.192066667
180,"RMD",35,-755.7574923,1,"None",0,"Lvl","I",0,"Edwards","NoRMD","NoRMD","TwnhsE","SFoyer",6,5,2005,"Gable","SS","VinylSd","VinylSd",1,80,3,3,"W",4,3,4,6,547,1,0,547,"GasA",4,1,"SBrkr",1072,0,0,1072,1,0,1,0,2,3,5,10,0,0,"Basment",2005,3,2,3,2,0,28,0,0,0,0,0,"None","None",0,4,2009,"WD","NoRMDal",142908.9432
20,"RLD",64,7448.227257,1,"None",0,"HLS","I",1,"Edwards","Norm","Norm","1Fam","1Story",4,5,1959,"Gable","SS","AsbShng","AsbShng",0,0,3,3,"CB",3,3,1,2,332,3,301,876,"GasA",3,1,"FuseA",876,0,0,876,0,0,1,0,3,3,5,10,0,0,"Detchd",1959,1,1,3,2,0,0,0,0,0,0,0,"MnPrv","None",0,3,2009,"WD","Normal",108407.3916
20,"RLD",70,10877.83039,1,"None",0,"Lvl","I",0,"Edwards","Norm","Norm","1Fam","1Story",5,5,1950,"Gable","SS","MetalSd","MetalSd",0,0,3,3,"CB",2,3,2,3,1078,1,0,1078,"GasA",3,1,"FuseA",1368,0,0,1368,1,0,1,0,3,3,6,4,0,0,"Attchd",1950,2,1,3,2,0,41,211,0,0,0,0,"None","Shed",900,6,2009,"WD","Normal",138326.072366667
90,"RLD",65,1880.874683,1,"None",0,"Lvl","I",0,"Edwards","Norm","Norm","Duplex","1Story",5,5,1959,"Hip","SS","VinylSd","VinylSd",1,74,3,3,"CB",3,3,1,1,0,1,1678,1678,"GasA",3,1,"SBrkr",1678,0,0,1678,0,0,2,0,6,3,10,10,0,0,"No Garage",1959,0,0,0,2,0,0,0,0,0,0,0,"None","None",0,8,2009,"WD","Normal",127443.3276
20,"RLD",70,4346.959412,1,"None",0,"Lvl","I",0,"Edwards","Norm","Norm","1Fam","1Story",5,5,1956,"Hip","SS","HdBoard","HdBoard",1,259,3,3,"CB",3,3,1,3,546,1,604,1150,"GasA",5,1,"SBrkr",1560,0,0,1560,0,0,1,0,2,3,7,4,1,3,"Attchd",1956,1,1,3,2,0,0,0,0,0,0,0,"None","None",0,5,2009,"WD","Normal",144755.1685
50,"RLD",45,1250.55645,1,"Grvl",0,"Lvl","I",0,"Edwards","Norm","Norm","1Fam","1.5Fin",5,6,1941,"Gable","SS","Wd Sdng","Wd Sdng",0,0,3,3,"CB",3,3,1,3,626,1,94,720,"GasA",5,1,"SBrkr",854,444,0,1298,0,0,1,0,3,3,6,10,2,4,"Detchd",1940,1,1,3,2,84,0,0,0,0,0,0,"None","None",0,9,2009,"WD","Normal",122048.8608
50,"RHD",70,7835.713482,1,"Paved",0,"Lvl","C",0,"SWISU","Norm","Norm","1Fam","1.5Fin",5,4,1938,"Gable","SS","MetalSd","MetalSd",1,88,3,3,"PC",3,2,1,2,832,1,0,832,"GasA",3,1,"SBrkr",832,436,0,1268,0,0,1,1,3,3,7,10,2,4,"Basment",1938,1,1,3,2,0,0,55,0,0,0,0,"None","None",0,7,2009,"WD","Abnorml",127434.2188
70,"RLD",43,7156.959075,1,"None",0,"Bnk","I",0,"SWISU","Feedr","Norm","1Fam","2Story",6,6,1935,"Gable","SS","Wd Sdng","Wd Sdng",0,0,3,3,"BT",3,3,1,1,0,1,583,583,"GasA",4,1,"FuseF",647,595,0,1242,0,0,1,1,3,3,6,10,1,4,"Detchd",1926,1,1,2,2,329,96,0,0,0,0,0,"None","None",0,3,2009,"WD","Normal",123465.127866667
30,"RLD",64,6225.138688,1,"None",0,"Lvl","I",0,"Crawfor","Norm","Norm","1Fam","1Story",6,8,1916,"Gable","SS","Stucco","Stucco",0,0,4,3,"BT",3,3,1,1,0,1,816,816,"GasA",5,1,"SBrkr",1232,0,0,1232,0,0,1,0,3,4,6,10,1,4,"Detchd",1916,1,2,3,2,0,0,180,0,0,0,0,"None","None",0,10,2009,"WD","Normal",152990.1861
70,"RLD",53,14232.84617,1,"None",0,"Lvl","I",0,"Crawfor","Norm","Norm","1Fam","2Story",7,8,1918,"Gambrel","SS","Wd Sdng","Wd Sdng",0,0,3,3,"BT",3,2,2,1,0,1,600,600,"GasA",5,1,"SBrkr",628,600,0,1228,0,0,1,0,3,3,6,10,1,4,"Detchd",1918,1,1,2,2,0,113,0,0,195,0,0,"MnPrv","None",0,5,2009,"WD","Normal",156668.5729
50,"RLD",60,9046.024892,1,"None",0,"HLS","I",1,"Crawfor","Norm","Norm","1Fam","1.5Fin",5,6,1940,"Gable","SS","Wd Sdng","Wd Sdng",0,0,3,3,"CB",3,3,1,5,728,1,112,840,"GasA",5,1,"SBrkr",840,727,0,1567,1,0,1,1,2,3,6,5,2,3,"Detchd",1961,1,2,3,2,0,21,150,0,0,0,0,"GdPrv","None",0,2,2009,"WD","Normal",172709.242533333
20,"RLD",80,1790.31783,1,"Grvl",1,"HLS","I",0,"Crawfor","Norm","Norm","1Fam","1Story",5,4,1960,"Gable","SS","MetalSd","MetalSd",0,0,3,3,"CB",3,3,1,3,793,1,480,1273,"GasA",5,1,"SBrkr",1273,0,0,1273,0,0,1,0,2,3,5,10,0,0,"Attchd",1960,1,1,3,2,483,0,0,0,115,0,0,"MnPrv","None",0,6,2009,"WD","Normal",145007.418433333
90,"RLD",70,9221.855776,1,"None",1,"HLS","C",0,"Crawfor","Norm","Norm","Duplex","2.5Unf",7,6,1940,"Gable","SS","Wd Sdng","Wd Sdng",0,0,3,3,"BT",3,3,1,2,246,1,674,920,"GasA",5,1,"SBrkr",1240,1240,0,2480,0,0,2,1,5,3,13,10,2,4,"Detchd",1940,1,2,3,2,0,0,57,0,0,0,0,"None","None",0,7,2009,"WD","Normal",226161.8037
20,"RLD",70,13798.35775,1,"None",0,"Lvl","I",0,"Crawfor","Feedr","Norm","1Fam","1Story",5,6,1954,"Gable","SS","BrkFace","BrkFace",0,0,3,4,"BT",3,3,2,3,154,5,264,1112,"GasA",5,1,"SBrkr",1112,0,0,1112,1,0,1,0,2,3,6,10,1,4,"Attchd",1954,1,1,3,2,0,0,0,0,0,0,0,"MnPrv","None",0,10,2009,"WD","Family",151523.832733333
20,"RLD",90,10398.14633,1,"None",1,"Lvl","I",0,"Crawfor","Norm","Norm","1Fam","1Story",6,6,1960,"Gable","SS","HdBoard","Plywood",2,132,3,3,"CB",3,3,1,2,65,4,621,1561,"GasA",3,1,"SBrkr",1561,0,0,1561,1,0,2,0,3,3,6,10,1,4,"Attchd",1960,3,2,3,2,0,148,0,0,120,0,0,"None","None",0,5,2009,"WD","Normal",188622.3785
50,"RLD",78,14335.97694,1,"None",0,"Bnk","I",0,"Crawfor","Norm","Norm","1Fam","1.5Fin",5,7,1949,"Gable","SS","BrkComm","Brk Cmn",0,0,3,3,"BT",3,3,1,4,312,3,248,1067,"GasW",2,0,"SBrkr",986,537,0,1523,1,0,2,0,3,2,7,2,1,3,"Attchd",1949,1,1,3,2,0,0,81,0,0,0,0,"None","None",0,10,2009,"WD","Normal",166287.166633333
20,"RLD",100,13535.2312,1,"None",0,"Bnk","C",1,"Crawfor","PosA","Norm","1Fam","1Story",6,5,1954,"Gable","SS","HdBoard","HdBoard",2,420,3,3,"PC",3,3,3,2,784,4,91,1310,"GasA",5,1,"SBrkr",1906,0,0,1906,1,0,1,1,3,3,6,10,2,4,"Basment",1954,1,2,3,2,0,201,0,0,0,0,0,"None","None",0,1,2009,"WD","Normal",206340.573833333
160,"RMD",24,8110.446914,1,"None",0,"Lvl","I",0,"Blueste","NoRMD","NoRMD","Twnhs","2Story",6,6,1980,"Gable","SS","MetalSd","MetalSd",0,0,3,3,"CB",3,3,1,1,0,1,516,516,"GasA",3,1,"SBrkr",516,516,0,1032,0,0,1,0,2,3,5,10,1,3,"Detchd",1980,1,2,3,2,279,0,0,0,0,0,0,"GdPrv","None",0,5,2009,"WD","NoRMDal",125826.8341
160,"RMD",24,8408.644287,1,"None",0,"Lvl","I",0,"Blueste","NoRMD","NoRMD","TwnhsE","2Story",6,6,1980,"Gable","SS","MetalSd","MetalSd",0,0,3,4,"CB",4,3,2,5,471,1,90,561,"GasA",3,1,"SBrkr",561,668,0,1229,1,0,1,1,2,4,5,10,1,3,"Attchd",1980,3,2,3,2,176,0,0,0,0,0,0,"GdPrv","None",0,10,2009,"WD","NoRMDal",141267.017666667
160,"RMD",24,12620.57523,1,"None",0,"Lvl","I",0,"Blueste","NoRMD","NoRMD","Twnhs","2Story",6,6,1980,"Gable","SS","MetalSd","MetalSd",0,0,3,3,"CB",4,3,1,1,0,1,561,561,"GasA",3,1,"SBrkr",561,668,0,1229,0,0,1,1,2,3,5,10,1,3,"Attchd",1980,3,2,3,2,154,0,0,0,0,0,0,"MnPrv","None",0,7,2009,"WD","NoRMDal",135113.6191
80,"RLD",70,6453.776484,1,"None",1,"Lvl","I",0,"Crawfor","Norm","Norm","1Fam","SLvl",6,6,1986,"Gable","SS","VinylSd","VinylSd",1,242,3,4,"CB",3,3,1,5,454,1,118,572,"GasA",4,1,"SBrkr",1182,800,0,1982,1,0,2,1,3,3,6,10,1,3,"BuiltIn",1986,3,2,3,2,400,112,0,0,0,0,0,"None","Shed",1500,4,2009,"WD","Normal",189362.913033333
20,"RLD",70,11083.64283,1,"None",0,"Bnk","I",0,"Crawfor","Norm","Norm","1Fam","1Story",7,9,1971,"Hip","SS","BrkFace","BrkFace",0,0,4,4,"CB",4,3,1,6,803,5,581,1803,"GasA",3,1,"SBrkr",2365,0,0,2365,1,0,2,0,3,5,7,4,2,4,"Attchd",1971,3,2,3,2,200,144,0,0,0,0,0,"GdPrv","None",0,7,2009,"WD","Normal",261457.979766667
70,"RMD",50,7909.328671,1,"None",0,"Bnk","I",0,"IDOTRR","NoRMD","NoRMD","1Fam","2Story",5,6,1900,"Gambrel","SS","AsbShng","AsbShng",0,0,3,3,"BT",3,3,1,1,0,1,760,760,"GasA",5,0,"SBrkr",928,928,312,2168,0,0,2,0,5,4,11,10,0,0,"Detchd",1998,1,2,3,2,467,160,78,0,0,0,0,"None","None",0,12,2009,"WD","NoRMDal",139308.190833333
30,"Commer",60,1895.900965,1,"Grvl",0,"Lvl","I",0,"IDOTRR","Norm","Norm","1Fam","1Story",4,6,1925,"Gable","SS","MetalSd","MetalSd",0,0,3,3,"BT",3,3,1,1,0,1,572,572,"GasA",2,0,"FuseP",572,0,0,572,0,0,1,0,2,3,4,10,0,0,"Detchd",1940,1,1,3,0,0,0,72,0,0,0,0,"None","None",0,5,2009,"WD","Normal",72895.1577333333
120,"RMD",44,13550.0099,1,"None",1,"HLS","I",1,"Crawfor","NoRMD","NoRMD","TwnhsE","1Story",8,5,2007,"Hip","SS","CemntBd","CmentBd",2,174,5,3,"PC",5,3,4,6,1476,1,120,1596,"GasA",5,1,"SBrkr",1648,0,0,1648,1,1,2,0,2,5,5,10,1,4,"Attchd",2007,3,2,3,2,162,53,0,153,0,0,0,"None","None",0,6,2009,"New","Partial",275598.972433333
30,"RLD",109,15722.86874,0,"None",0,"Lvl","I",0,"IDOTRR","Norm","Norm","1Fam","1Story",2,4,1910,"Gable","SS","Wd Sdng","Wd Sdng",0,0,2,2,"CB",0,0,0,0,0,0,0,0,"GasA",3,0,"FuseA",810,0,0,810,0,0,1,0,1,3,4,4,0,0,"Detchd",1975,1,1,3,0,119,24,0,0,0,0,0,"None","None",0,3,2009,"ConLD","Normal",74058.0176
60,"RLD",75,894.6863213,1,"None",0,"Lvl","I",0,"Mitchel","Norm","Norm","1Fam","2Story",8,5,2000,"Gable","SS","CemntBd","CmentBd",0,0,4,3,"PC",4,3,1,5,445,4,412,1107,"GasA",5,1,"SBrkr",1040,1012,0,2052,0,0,2,1,3,4,7,10,1,3,"BuiltIn",2000,3,3,3,2,210,91,0,0,0,0,0,"None","None",0,5,2009,"WD","Normal",232087.313133333
85,"RLD",75,10013.857,1,"None",0,"Lvl","I",0,"Mitchel","Norm","Norm","1Fam","SFoyer",6,6,1977,"Gable","SS","Plywood","Plywood",0,0,3,3,"CB",3,3,3,5,767,1,135,902,"GasA",5,1,"SBrkr",926,0,0,926,1,0,1,0,2,3,5,10,1,3,"Attchd",1977,1,1,3,2,319,0,0,0,0,0,0,"MnPrv","None",0,4,2009,"WD","Normal",140148.948333333
85,"RLD",72,8174.68292,1,"None",0,"Bnk","I",0,"Mitchel","Norm","Norm","1Fam","SFoyer",6,7,1977,"Gable","SS","Plywood","Plywood",0,0,3,3,"CB",4,3,3,6,841,2,0,957,"GasA",3,1,"SBrkr",1287,0,0,1287,1,0,1,1,2,3,5,10,2,2,"Attchd",1977,2,2,3,2,302,39,0,0,120,0,0,"GdWo","None",0,11,2009,"WD","Normal",156729.7369
20,"RLD",82,10690.21237,1,"None",0,"Lvl","I",0,"Mitchel","Norm","Norm","1Fam","1Story",5,5,1991,"Gable","SS","HdBoard","HdBoard",0,0,3,3,"PC",4,3,1,4,55,1,1527,1582,"GasA",3,1,"SBrkr",1595,0,0,1595,1,0,2,0,2,3,5,10,0,0,"Detchd",1991,1,2,3,2,0,0,0,0,0,0,0,"None","None",0,4,2009,"COD","Abnorml",153710.335966667
20,"RLD",113,9534.050429,1,"None",1,"HLS","C",0,"Timber","Norm","Norm","1Fam","1Story",9,5,2008,"Gable","SS","CemntBd","CmentBd",2,246,5,3,"CB",5,3,4,6,1758,1,432,2190,"GasA",5,1,"SBrkr",2036,0,0,2036,1,0,2,0,3,5,9,10,1,5,"Attchd",2008,3,3,3,2,90,154,0,0,0,0,0,"None","None",0,7,2009,"WD","Normal",297148.746733333
20,"RLD",79,7265.236921,1,"None",1,"HLS","C",0,"Timber","Norm","Norm","1Fam","1Story",9,5,2008,"Gable","SS","CemntBd","CmentBd",1,406,5,3,"PC",5,3,4,6,1115,1,526,1641,"GasA",5,1,"SBrkr",1641,0,0,1641,1,0,2,0,3,5,7,10,0,0,"Attchd",2008,3,3,3,2,0,95,0,0,0,0,0,"None","None",0,1,2009,"WD","Normal",281530.869
60,"RLD",82,14530.70325,1,"None",1,"Lvl","CulDSac",0,"Timber","Norm","Norm","1Fam","2Story",6,8,1980,"Gable","SS","MetalSd","MetalSd",0,0,3,4,"PC",4,3,1,5,462,1,250,712,"GasA",5,1,"SBrkr",1375,862,0,2237,0,0,2,1,3,4,7,10,1,3,"BuiltIn",1980,3,2,3,2,305,24,0,0,0,0,0,"None","Shed",2500,2,2009,"WD","Normal",205117.316
80,"RLD",125,9761.672778,1,"None",1,"Lvl","C",0,"Timber","Norm","Norm","1Fam","SLvl",7,5,1987,"Hip","SS","Plywood","Plywood",1,310,3,3,"PC",4,3,4,6,904,5,117,1645,"GasA",5,1,"SBrkr",1479,0,0,1479,2,0,2,1,3,4,7,4,1,2,"Attchd",1987,3,2,3,2,224,238,0,0,0,0,0,"None","None",0,7,2009,"WD","Normal",213070.450833333
60,"RLD",75,18417.20638,1,"None",1,"Lvl","C",0,"Timber","Norm","Norm","1Fam","2Story",7,5,2003,"Gable","SS","VinylSd","VinylSd",0,0,4,3,"PC",4,3,1,1,0,1,912,912,"GasA",5,1,"SBrkr",1072,942,0,2014,0,0,2,1,3,4,9,10,0,0,"Attchd",2003,3,2,3,2,124,114,0,0,0,0,0,"None","None",0,2,2009,"WD","Abnorml",229863.3911
20,"RLD",85,9972.915532,1,"None",1,"HLS","I",0,"Timber","Norm","Norm","1Fam","1Story",9,5,2007,"Hip","SS","CemntBd","CmentBd",2,290,5,3,"PC",5,3,4,6,1640,1,338,1978,"GasA",5,1,"SBrkr",1978,0,0,1978,1,0,2,0,2,5,7,10,1,4,"Attchd",2007,3,3,3,2,308,52,0,0,0,0,0,"None","None",0,5,2009,"WD","Normal",300964.4593
20,"RLD",75,12885.21648,1,"None",1,"Lvl","I",0,"Mitchel","Norm","Norm","1Fam","1Story",5,7,1968,"Gable","SS","HdBoard","HdBoard",1,182,3,3,"CB",3,3,1,5,532,1,476,1008,"GasA",4,1,"SBrkr",1008,0,0,1008,0,0,1,0,3,4,6,10,0,0,"Attchd",1968,1,1,3,2,144,0,0,0,0,0,0,"MnPrv","None",0,4,2009,"WD","Normal",138499.959066667
20,"RLD",83,15081.81501,1,"None",1,"Lvl","I",1,"Mitchel","Norm","Norm","1Fam","1Story",5,5,1969,"Hip","SS","HdBoard","HdBoard",1,176,3,3,"CB",3,3,1,4,594,1,594,1188,"GasA",5,1,"SBrkr",1404,0,0,1404,0,0,2,0,3,3,7,10,1,1,"Attchd",1969,1,2,3,2,0,16,0,0,0,0,0,"None","None",0,3,2009,"WD","Normal",158621.223266667
85,"RLD",50,14441.53183,1,"None",1,"Lvl","I",0,"Mitchel","Norm","Norm","1Fam","SFoyer",5,8,1972,"Gable","SS","MetalSd","MetalSd",0,0,3,3,"CB",4,3,3,6,720,4,0,796,"GasA",4,1,"SBrkr",796,0,0,796,0,1,1,0,2,3,4,10,0,0,"Detchd",1998,1,1,3,2,138,0,0,0,0,0,0,"MnPrv","None",0,7,2009,"WD","Normal",130407.916466667
80,"RLD",62,4206.747016,1,"None",0,"Lvl","I",0,"Mitchel","Norm","Norm","1Fam","SLvl",6,5,1993,"Gable","SS","HdBoard","HdBoard",0,0,3,4,"CB",4,3,3,3,114,6,0,384,"GasA",5,1,"SBrkr",1091,0,0,1091,0,1,1,0,2,3,5,10,0,0,"Attchd",1993,3,1,3,2,280,0,0,0,0,0,0,"None","Shed",700,8,2009,"WD","Normal",136184.9302
85,"RLD",70,1484.357445,1,"None",0,"Lvl","I",0,"Mitchel","Norm","Norm","1Fam","SFoyer",5,6,1992,"Gable","SS","HdBoard","Wd Shng",0,0,3,3,"PC",4,3,3,6,718,2,0,828,"GasA",3,1,"SBrkr",883,0,0,883,1,0,1,0,2,3,5,10,1,2,"Detchd",1998,1,2,3,2,100,32,0,0,0,0,0,"GdPrv","None",0,6,2009,"WD","Normal",138339.520466667
60,"RLD",62,11060.98566,1,"None",0,"Lvl","I",0,"Mitchel","Norm","Norm","1Fam","2Story",5,5,1992,"Gable","SS","HdBoard","Wd Shng",0,0,3,3,"PC",4,3,1,5,330,1,294,624,"GasA",3,1,"SBrkr",624,663,0,1287,0,0,1,1,3,3,6,10,0,0,"Detchd",2001,1,2,3,2,150,0,0,0,0,0,0,"None","None",0,7,2009,"WD","Normal",140268.728533333
60,"RLD",70,3924.169782,1,"None",1,"Lvl","I",1,"Mitchel","Norm","Norm","1Fam","2Story",5,7,1969,"Gable","SS","VinylSd","VinylSd",1,178,4,5,"CB",3,3,4,4,496,2,0,784,"GasA",5,1,"SBrkr",784,848,0,1632,0,0,1,1,4,3,7,10,1,3,"Attchd",1969,2,2,3,2,0,173,368,0,0,0,0,"MnPrv","None",0,4,2009,"WD","Normal",169701.279
60,"RLD",72,10195.97229,1,"None",1,"Lvl","I",0,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1997,"Gable","SS","VinylSd","VinylSd",0,0,3,3,"PC",3,3,1,4,706,1,220,926,"GasA",5,1,"SBrkr",926,678,0,1604,0,0,2,1,3,3,7,10,1,3,"Attchd",1997,3,2,3,2,0,36,0,0,0,0,0,"None","None",0,4,2008,"WD","Normal",180928.5071
60,"RLD",65,11846.08009,1,"None",0,"Lvl","I",0,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1995,"Gable","SS","VinylSd","VinylSd",1,119,3,3,"PC",4,3,1,5,476,1,204,680,"GasA",4,1,"SBrkr",680,790,0,1470,0,0,2,1,3,3,7,10,1,3,"BuiltIn",1995,3,2,3,2,192,49,0,0,0,0,0,"None","None",0,10,2008,"WD","Normal",177599.792666667
60,"RLD",59,1981.451272,1,"None",1,"Lvl","I",0,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1998,"Gable","SS","VinylSd","VinylSd",0,0,3,3,"PC",4,3,4,6,851,1,75,926,"GasA",5,1,"SBrkr",926,678,0,1604,0,0,2,1,3,3,7,10,0,0,"Attchd",1998,3,2,3,2,100,82,0,0,0,0,0,"None","None",0,5,2008,"WD","Normal",186563.340166667
60,"RLD",64,9730.380479,1,"None",2,"Lvl","C",0,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1996,"Gable","SS","HdBoard","HdBoard",0,0,3,3,"PC",4,3,1,3,138,1,778,916,"GasA",4,1,"SBrkr",916,720,0,1636,0,0,2,1,3,3,7,10,1,3,"Attchd",1996,3,2,3,2,168,84,0,0,0,0,0,"None","None",0,11,2008,"WD","Normal",177135.747566667
20,"RLD",53,2931.454781,1,"None",1,"Lvl","I",0,"Gilbert","Norm","Norm","1Fam","1Story",5,5,1996,"Gable","SS","HdBoard","HdBoard",0,0,4,3,"PC",4,3,1,6,450,1,898,1348,"GasA",4,1,"SBrkr",1384,0,0,1384,1,0,2,0,3,4,7,10,0,0,"Attchd",1996,1,2,3,2,0,39,0,0,0,0,0,"None","None",0,11,2008,"WD","Normal",175937.762466667
120,"RLD",45,4036.289514,1,"None",1,"Lvl","C",0,"StoneBr","Norm","Norm","1Fam","1Story",8,5,1997,"Gable","SS","CemntBd","CmentBd",0,0,4,3,"PC",5,3,2,6,656,1,1008,1664,"GasA",5,1,"SBrkr",1682,0,0,1682,1,0,1,1,1,4,6,4,1,3,"Attchd",1997,3,2,3,2,0,0,0,0,0,0,0,"None","None",0,7,2008,"WD","Normal",257644.161733333
120,"RLD",39,8917.774142,1,"None",1,"HLS","I",0,"StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1992,"Gable","SS","HdBoard","HdBoard",0,0,4,3,"PC",4,3,2,1,0,1,1280,1280,"GasA",5,1,"SBrkr",1280,0,0,1280,0,0,2,0,2,4,5,10,0,0,"Attchd",1992,2,2,3,2,0,82,0,0,144,0,0,"None","None",0,8,2008,"WD","Normal",191205.2679
60,"RLD",73,13491.69475,1,"None",1,"Lvl","C",0,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1998,"Gable","SS","VinylSd","VinylSd",0,0,3,3,"PC",4,3,1,1,0,1,932,932,"GasA",4,1,"SBrkr",932,701,0,1633,0,0,2,1,3,3,7,10,1,3,"Attchd",1998,3,2,3,2,0,39,0,0,0,0,0,"None","None",0,4,2008,"WD","Family",175863.642933333
60,"RLD",64,13099.35023,1,"None",0,"Lvl","FR3P",0,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1991,"Gable","SS","HdBoard","HdBoard",1,194,3,3,"PC",4,3,1,5,504,1,332,836,"GasA",4,1,"SBrkr",851,858,0,1709,1,0,2,1,3,4,7,10,0,0,"Attchd",1991,3,2,3,2,0,40,0,0,0,0,0,"GdPrv","None",0,9,2008,"WD","Normal",195160.384466667
120,"RLD",65,11109.18164,1,"None",1,"HLS","I",1,"StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1989,"Gable","SS","HdBoard","HdBoard",0,0,4,3,"PC",4,3,4,6,319,1,1018,1337,"GasA",4,1,"SBrkr",1337,0,0,1337,1,0,2,0,2,4,5,10,1,3,"Attchd",1989,2,2,3,2,0,73,154,0,0,0,0,"None","None",0,4,2008,"WD","Normal",196833.351266667
60,"RLD",101,4618.464543,1,"None",1,"HLS","C",0,"StoneBr","Norm","Norm","1Fam","2Story",8,5,2005,"Gable","SS","VinylSd","VinylSd",2,130,4,3,"PC",5,3,4,6,16,1,1152,1168,"GasA",5,1,"SBrkr",1168,1332,0,2500,0,0,3,1,5,5,9,10,1,4,"BuiltIn",2005,3,3,3,2,192,32,0,0,0,0,0,"None","None",0,7,2008,"WD","Normal",278883.243766667
20,"RLD",53,8023.713013,1,"None",1,"HLS","CulDSac",0,"StoneBr","Norm","Norm","1Fam","1Story",9,5,2004,"Hip","SS","VinylSd","VinylSd",1,296,5,3,"PC",5,3,4,6,1337,1,547,1884,"GasA",5,1,"SBrkr",1884,0,0,1884,1,0,2,0,2,5,7,10,1,4,"Attchd",2004,3,3,3,2,214,76,0,0,0,0,0,"None","None",0,9,2008,"WD","Normal",288276.935966667
20,"RLD",64,6350.899434,1,"None",1,"Bnk","FR2P",0,"Gilbert","Feedr","Norm","1Fam","1Story",6,2,1952,"Hip","SS","BrkFace","BrkFace",0,0,3,3,"CB",3,3,1,1,0,1,1632,1632,"GasA",3,1,"FuseA",1474,0,0,1474,0,0,1,0,3,3,7,5,2,4,"Attchd",1952,1,2,3,2,0,0,144,0,0,0,0,"None","Shed",750,5,2008,"WD","Normal",173447.9455
